place_name,place_info,corpus,"coordinates (y, x)",query,
벤치1,공대(공과대학) 1호관 정문 앞 벤치,"공대(공과대학) 1호관의 정문 앞 잔디밭에는 나무 벤치가 설치되어 있습니다.
공대(공과대학) 1호관에서 수업을 들은 학생들은 공대(공과대학) 1호관 정문 앞에 있는 벤치에 앉아서 휴식을 취할 수 있습니다.
공대(공과대학) 1호관 정문 앞 나무 벤치는 주변에 나무가 많고 앞에 큰 돌이 있어요.
공대(공과대학) 1호관 정문에 자리 잡은 벤치는 흡연구역과 가깝게 위치합니다.","35.8462, 127.1331","공대 1호관 정문 앞 잔디밭에 있는 나무 벤치가 어디있나요?
공대 1호관 벤치에서 만나기로 한 사람이 있는데, 정확한 위치를 알려줄 수 있나요?
공대 1호관 정문 앞의 나무 벤치로 가는 가장 빠른 길은 무엇인가요?
공대 1호관 정문 앞에 있는 큰 돌 옆 나무 벤치에 도착했습니다.
공대 1호관 정문 앞 나무 벤치로 와주세요.
공대 1호관 정문 앞에 있는 벤치로 가주실 수 있나요?
공대 1호관 정문 근처의 흡연구역 옆에 있는 벤치로 와주세요, 여기서 기다리고 있을게요.
공대 1호관 정문 앞 잔디밭의 나무 벤치는 어느 쪽에 위치해 있나요?
공대 1호관 벤치로 와주실 수 있나요? 수업 후 여기서 만나기로 했어요.
공대 1호관 정문 앞 벤치에 앉아 있어요. ",공대 1호관 앞에 벤치 있는데 그쪽으로 와주세요.
벤치2,공대(공과대학) 편의점 앞 벤치,"공대(공과대학) 편의점 근처에는 학생들이 즐겨 찾는 벤치가 있습니다.
공대(공과대학) 편의점 앞의 벤치는 종종 학생들의 흡연 장소로 활용됩니다.
공대(공과대학) 편의점 앞 벤치는 공대(공과대학) 1호관 뒤에 있습니다.
공대(공과대학)의 편의점 옆에 위치한 벤치 근처에는 인쇄소가 있습니다.","35.846867, 127.132542","공대 편의점 앞에 있는 벤치로 가주세요.
공대 1호관 뒤편에 위치한 벤치에 도착하려면 어디로 가야 하나요?
공대 편의점 옆 인쇄소 근처의 벤치는 정확히 어디에 위치해 있나요?
공대 편의점 앞 벤치로 가려면 어느 방향으로 가야 하나요?
공대 편의점 근처 벤치에서 만나기로 한 사람이 있는데, 그 벤치는 편의점 어느 쪽에 있나요?
공대 편의점 앞 벤치의 위치는 어떻게 되나요?
공대 편의점 옆 벤치에 도착했는데, 여기가 맞나요? 주변에 인쇄소가 보이나요?
공대 편의점 근처에 있는 벤치에 있습니다.
공대 편의점 앞 벤치에서 기다리고 있을게요. 여기는 공대 1호관 뒤쪽인데, 어떻게 찾을 수 있을까요?
공대 편의점 옆 벤치로 와주실 수 있나요? 여기서 만나려고 합니다.",공대 CU 앞 벤치
벤치3,공대(공과대학) 2호관 옆 벤치,"공대(공과대학) 2호관 옆에는 벤치들이 위치해 있습니다.
공대(공과대학) 2호관 옆에 있는 벤치들 위에는 천막이 있어 비를 피할 수 있어요.
공대(공과대학) 2호관 옆에는 벤치와 테이블 여러 개가 있습니다.
공대(공과대학) 2호관 옆의 벤치에서 흡연하는 사람들이 많습니다.","35.8472, 127.1318","공대 2호관 옆에 있는 벤치들이 있는 길은 어디인가요?
공대 2호관 옆 벤치들 위의 천막 아래에서 만나요.
공대 2호관 옆에 있는 벤치와 테이블이 있는 곳은 2호관의 어느 쪽에 위치해 있나요?
공대 2호관 옆 벤치에서 흡연하는 사람들을 만나려면 어디로 가야 하나요?
공대 2호관 옆 나무 벤치는 어디있죠?
공대 2호관 옆 벤치들 근처에서 만나기로 한 사람이 있는데, 그 벤치들은 2호관 어느 쪽에 있나요?
공대 2호관 옆 벤치 천막 아래에서 비를 피하세요.
공대 2호관 옆 벤치에 도착했는데, 여기가 맞나요?
공대 2호관 옆에 있는 벤치로 와주세요.
공대 2호관 옆 벤치에서 기다리고 있을게요. 여기는 천막이 있는 곳인데, 어떻게 찾을 수 있을까요?",
벤치3,공대(공과대학) 1호관과 공대(공과대학) 4호관 사이 벤치,"공대(공과대학) 1호관과 4호관 사이의 벤치는 두 건물 사이에 편의 시설을 제공합니다.
공대(공과대학) 1호관과 4호관 사이의 벤치 옆에는 주차장이 있어요.
공대(공과대학) 1호관과 4호관 사이에 위치한 벤치 앞에는 도서관으로 빠르게 갈 수 있는 계단이 있어요.
공대(공과대학) 1호관과 공대(공과대학) 4호관 사이의 벤치는 학생들의 휴식 공간으로 인기있는 장소입니다.","35.8472, 127.1318","공대 1호관과 4호관 사이에 있는 벤치는 어디있나요?
공대 1호관과 4호관 사이 벤치 옆의 주차장에 차를 세우고 벤치로 가려면 어디로 가야하나요?
공대 1호관과 4호관 사이에 위치한 벤치 앞 계단을 통해 도서관으로 가려면 어떻게 해야 하나요?
공대 1호관과 4호관 사이의 벤치는 두 건물 사이 어디에 위치해 있나요?
공대 1호관과 4호관 사이 벤치에서 만나기로 한 사람이 있는데, 그 벤치는 어디에 있나요?
공대 1호관과 4호관 사이에 있는 벤치로 가려면 어느 방향으로 가야 하나요?
공대 1호관과 4호관 사이 벤치 근처에는 주차장도 있으니 그 쪽으로 와주세요.
공대 1호관과 4호관 사이의 벤치 근처에서 만나기로 한 사람을 찾으려면 어떻게 해야 하나요?
공대 1호관과 4호관 사이에 있는 벤치로 어떻게 가야 합니까?
공대 1호관과 4호관 사이의 벤치에서 기다리고 있을게요. 


",
벤치4,공대(공과대학) 2호관 정문 벤치,"공대(공과대학) 2호관 정문 앞의 벤치 앞에는 주차장이 있습니다.
공대(공과대학) 2호관 정문 앞 벤치는 공대(공과대학) 2호관 근처 나무들 사이에 있습니다.
공대(공과대학) 2호관 정문에 위치한 벤치 근처에서 흡연하는 사람들이 많습니다.
공대(공과대학) 2호관 정문 앞 벤치 뒤에는 학군단 건물이 있어요.","35.8463, 127.1316","공대 2호관 정문 앞 벤치 앞에 있는 주차장으로 가는 가장 빠른 길은 어디인가요?
공대 2호관 근처 나무들 사이에 있는 벤치를 찾으려면 어떤 길을 따라가야 하나요?
공대 2호관 정문에 위치한 벤치 근처의 흡연 장소로 가려면 어디로 가야 하나요?
공대 2호관 정문 앞 벤치 뒤에 있는 학군단 건물로 어떻게 가나요?
공대 2호관 정문 앞 벤치에서 만나기로 한 사람이 있는데, 그 벤치는 2호관의 어느 쪽에 있나요?
공대 2호관 정문 앞에 있는 벤치로 가려면 어느 방향으로 가야 하나요?
공대 2호관 정문 앞 벤치 근처에 있는 주차장은 정확히 어디에 위치해 있나요?
공대 2호관 정문 앞 벤치 근처에서 만나기로 한 사람을 찾으려면 어떻게 해야 하나요?
공대 2호관 정문 앞에 있는 벤치로 어떻게 가야 합니까?
공대 2호관 정문 앞 벤치에서 기다리고 있을게요. 여기는 학군단 건물 뒤쪽인데, 어떻게 찾을 수 있을까요?",
벤치5,공대(공과대학) 3호관과 공대(공과대학) 9호관 사이 벤치,"공대(공과대학) 3호관과 9호관 사이의 벤치는 지붕이 있어요.
공대(공과대학) 3호관과 9호관 사이의 벤치옆에는 자전거 주차장이 있습니다.
공대(공과대학) 3호관과 공대(공과대학) 9호관 사이에는 벤치가 위치해 있습니다.
공대(공과대학) 3호관과 9호관 사이에 위치한 벤치는 학생들이 흡연을 위해 즐겨 찾는 장소입니다.","35.847292, 127.133700","공대 3호관과 9호관 사이의 지붕이 있는 벤치로 배달해 주실 수 있나요?
공대 3호관과 9호관 사이, 자전거 주차장 옆 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 3호관과 9호관 사이의 흡연 가능 벤치 지역으로 음식을 배달 부탁드립니다.
공대 3호관과 9호관 사이에 위치한 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
3호관과 9호관 사이 벤치로 오실 때, 자전거 주차장을 참고하세요 그곳에서 만나요.
공대 3호관과 9호관 사이 벤치에서 기다리고 있을게요 여기로 배달 부탁드립니다.
3호관과 9호관 사이의 지붕 아래 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
공대 3호관과 9호관 사이에 있는 벤치 근처로 배달 부탁드립니다 정확한 위치는 자전거 주차장 바로 옆입니다.
공대 3호관과 9호관 사이의 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 3호관과 9호관 사이의 벤치로 오시면 됩니다 벤치는 지붕이 있는 곳에 있어요.",
벤치6,자연대(자연과학대학) 본관 후문 정자,"자연대(자연과학대학) 본관 후문 정자는 학생들이 잠시 휴식을 취하거나 짧은 대화를 하는 데 적합합니다.
자연대(자연과학대학) 본관 후문 정자는 도로변 근처에 위치해 있어요.
자연대(자연과학대학) 본관 후문 정자 옆에는 주차장이 있습니다.
자연대(자연과학대학) 본관 후문 정자는 구석진 곳에 있습니다.","35.8476, 127.1303","자연대 본관 후문 정자로 배달해 주실 수 있나요?
자연대 본관 후문 정자 근처 도로변에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 본관 후문 정자 옆 주차장으로 음식을 배달 부탁드립니다.
자연대 본관 후문 정자에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 본관 후문 정자로 오실 때, 주차장을 참고하세요 그곳에서 만나요.
자연대 본관 후문 정자에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 본관 후문 정자에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 본관 후문 정자 근처로 배달 부탁드립니다 정확한 위치는 주차장 바로 옆입니다.
자연대 본관 후문 정자에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 본관 후문 정자로 오시면 됩니다 구석진 곳에 위치해 있어요.",
벤치7,공대(공과대학) 4호관과 공대(공과대학) 5호관 사이 벤치,"공대(공과대학) 4호관과 공대(공과대학) 5호관 사이에는 벤치가 있습니다.
중앙도서관에서 공대(공과대학) 2호관으로 올라오는 계단 앞에는 벤치가 있습니다.
공대(공과대학) 4호관 벤치 앞에는 지쿠터 주차장이 있습니다.
공대(공과대학) 5호관 벤치에서는 중앙도서관과도 가깝습니다.","35.8476, 127.1313","공대 4호관과 5호관 사이에 있는 벤치로 배달해 주실 수 있나요?
중앙도서관에서 공대 2호관으로 올라오는 계단 앞 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 4호관 벤치 앞 지쿠터 주차장으로 음식을 배달 부탁드립니다.
공대 5호관 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
공대 4호관과 5호관 사이 벤치로 오실 때, 주변 건물을 참고하세요 그곳에서 만나요.
중앙도서관 옆 공대 2호관 계단 앞 벤치에서 기다리고 있을게요 여기로 배달 부탁드립니다.
공대 4호관 벤치 앞에서 친구를 만나려 합니다 여기로 오실 수 있나요?
공대 5호관 벤치 근처로 배달 부탁드립니다 정확한 위치는 중앙도서관 바로 옆입니다.
공대 4호관 벤치 앞 지쿠터 주차장에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 5호관 벤치로 오시면 됩니다 중앙도서관과 가까운 위치에 있어요.",
벤치8,공대(공과대학) 6호관 정문 벤치,"공대(공과대학) 6호관 정문 앞의 벤치는 공대(공과대학) 7호관으로 지나가는 길에 있습니다.
공대(공과대학) 6호관 정문의 벤치에는 흡연하는 사람들이 많습니다.
공대(공과대학) 6호관 정문의 벤치 옆에는 공장동이 있습니다.
공대(공과대학) 6호관 주차장과 공대(공과대학) 7호관 주차장 중간에는 벤치가 있습니다.","35.8467, 127.1342","공대 6호관 정문 앞의 벤치로 배달해 주실 수 있나요?
공대 6호관 정문의 흡연 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 6호관 정문 벤치 옆 공장동으로 음식을 배달 부탁드립니다.
공대 6호관과 7호관 주차장 중간에 있는 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
공대 6호관 정문 앞 벤치로 오실 때, 주변 건물을 참고하세요 그곳에서 만나요.
공대 7호관으로 지나가는 길에 있는 6호관 정문 벤치에서 기다리고 있을게요 여기로 배달 부탁드립니다.
공대 6호관 정문의 흡연 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
공대 6호관과 7호관 주차장 사이 벤치 근처로 배달 부탁드립니다 정확한 위치는 주차장 중간입니다.
공대 6호관 정문 벤치 옆 공장동에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 6호관 정문 앞의 벤치로 오시면 됩니다 7호관으로 가는 길에 위치해 있어요.",공대 부속공장 앞
벤치9,공대(공과대학) 6호관과 후생관 사이 벤치,"공대(공과대학) 6호관과 후생관 사이에는 벤치가 위치해 있습니다.
보건진료소 앞에서 후생관 앞을 지나는 길에는 벤치가 있어요.
공대(공과대학) 6호관과 후생관 사이에 위치한 벤치는 후생관에서 식사를 하기 위해 기다리는 사람들에게 적합합니다.
후생관에서 나온 학생들은 후생관과 공대(공과대학) 6호관 사이에 위치한 벤치에서 잠시 대화를 나누기도 합니다.","35.847479, 127.134503","공대 6호관과 후생관 사이에 있는 벤치로 배달해 주실 수 있나요?
보건진료소 앞에서 후생관 앞을 지나는 길의 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 6호관과 후생관 사이에 위치한 식사 기다리는 벤치로 음식을 배달 부탁드립니다.
후생관과 공대 6호관 사이에 있는 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
공대 6호관과 후생관 사이 벤치로 오실 때, 주변 건물을 참고하세요 그곳에서 만나요.
보건진료소 앞에서 후생관으로 가는 길에 있는 벤치에서 기다리고 있을게요 여기로 배달 부탁드립니다.
후생관에서 식사를 기다리는 사람들을 위한 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
후생관과 공대 6호관 사이 벤치 근처로 배달 부탁드립니다 정확한 위치는 후생관 바로 옆입니다.
공대 6호관과 후생관 사이 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 6호관과 후생관 사이의 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
